"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-EY-A2OQ-01A-11R-A19W-07",30.3886,123.4355,8.068,133.552,38.2009
"TCGA-B5-A11H-01A-11R-A118-07",28.9742,46.8686,7.4946,185.3611,22.1183
"TCGA-B5-A1MZ-01A-11R-A144-07",24.8618,53.3277,9.5409,142.8437,31.2234
"TCGA-BG-A0M0-01A-11R-A104-07",22.9921,60.8064,6.6085,290.0528,15.2185
"TCGA-BK-A0CA-01A-21R-A118-07",40.27,53.0846,9.2385,171.517,17.1454
"TCGA-A5-A7WK-01A-11R-A34R-07",36.682,70.9603,4.5038,118.8089,10.8668
"TCGA-D1-A15X-01A-11R-A118-07",30.4691,43.4429,9.2892,55.0586,10.9204
"TCGA-AJ-A8CV-01A-11R-A37O-07",29.8466,44.9607,7.5207,49.2655,26.1784
"TCGA-B5-A0K4-01A-11R-A040-07",8.7185,38.0757,7.0994,223.6211,8.7346
"TCGA-D1-A1O5-01A-11R-A14D-07",21.38,39.1707,7.5112,197.3195,24.5086
"TCGA-AX-A1CE-01A-11R-A137-07",55.2694,53.788,15.084,535.5126,9.8628
"TCGA-BG-A0MG-01A-21R-A104-07",24.3618,53.5965,8.2098,589.2396,15.9472
"TCGA-D1-A17Q-01A-11R-A12I-07",16.724,40.4859,7.116,88.0568,6.8567
"TCGA-EO-A3KW-01A-11R-A22K-07",33.7982,70.6956,11.7203,98.7405,29.6753
"TCGA-BG-A0MT-01A-11R-A104-07",20.625,58.8243,9.8734,465.9902,33.5724
"TCGA-QS-A5YR-01A-31R-A31O-07",17.7457,33.4726,5.6513,39.8457,21.1837
"TCGA-BG-A0MU-01A-11R-A104-07",15.6523,30.9621,4.2298,24.8904,15.1584
"TCGA-D1-A0ZZ-01A-11R-A10J-07",24.6474,60.8901,3.9301,70.4824,10.9751
"TCGA-B5-A3FB-01A-11R-A19W-07",28.3263,54.5413,11.6305,131.6627,16.2877
"TCGA-EY-A1GP-01A-11R-A13S-07",23.226,74.1513,4.3894,28.9996,83.8941
"TCGA-AJ-A3BI-01A-11R-A213-07",8.9913,29.1998,4.2495,2.6613,7.9397
"TCGA-AX-A2HH-01A-11R-A32Y-07",36.4794,93.6669,9.7965,43.5112,18.5441
"TCGA-BG-A0W1-01A-12R-A109-07",23.7961,29.3529,5.997,31.209,53.4616
"TCGA-BK-A4ZD-01A-11R-A27V-07",58.6593,74.7545,5.369,9.3128,17.2245
"TCGA-BG-A2L7-01A-11R-A18M-07",26.8536,60.7939,6.0375,53.1975,28.3395
"TCGA-B5-A5OC-01A-21R-A27V-07",33.039,42.9252,9.4552,34.8761,62.4267
"TCGA-BG-A187-01A-11R-A12I-07",8.2036,40.3689,7.9576,241.8364,4.2748
"TCGA-AW-A1PO-01A-12R-A157-07",20.1709,74.4749,6.1977,99.2513,9.9505
"TCGA-AP-A05J-01A-11R-A00V-07",5.8203,43.7298,3.2814,36.7428,3.3735
"TCGA-AP-A1DK-01A-11R-A137-07",33.5591,45.6346,7.8166,58.0339,60.8408
"TCGA-AP-A0LP-01A-12R-A104-07",20.2911,41.1453,5.7293,61.722,6.3536
"TCGA-AX-A3FX-01A-11R-A22K-07",20.5543,32.2008,5.0772,19.9557,64.1898
"TCGA-AP-A1E1-01A-11R-A137-07",36.717,54.8128,9.5839,114.2975,26.5543
"TCGA-PG-A915-01A-11R-A37O-07",29.8152,108.0337,6.6014,60.3112,15.8615
"TCGA-EY-A2OO-01A-11R-A19W-07",36.2132,66.5791,8.9058,89.0676,100.5558
"TCGA-BK-A13B-01A-51R-A22K-07",18.5798,46.8753,10.8494,117.3293,57.9127
"TCGA-B5-A1MU-01A-11R-A13S-07",24.0754,79.2543,7.8185,52.6191,29.9761
"TCGA-BK-A0CC-01A-21R-A16W-07",24.3165,61.6692,5.561,31.9269,44.4306
"TCGA-AJ-A3OL-01A-11R-A22K-07",44.6055,86.3302,12.0815,389.4634,46.9648
"TCGA-AX-A1CJ-01A-11R-A137-07",14.4789,29.9739,4.0001,121.5678,8.1653
"TCGA-BG-A2AE-01A-11R-A16F-07",34.5848,79.0304,9.1086,159.9497,38.0208
"TCGA-D1-A103-01A-11R-A10J-07",32.5854,47.498,9.5398,127.6995,32.8291
"TCGA-AX-A2HD-01A-21R-A17B-07",39.4074,90.5732,22.4135,596.9827,32.07
"TCGA-BS-A0UF-01A-11R-A104-07",27.0692,60.2279,9.0658,340.6291,5.8182
"TCGA-AP-A054-01A-11R-A16W-07",38.3155,138.9604,17.1043,51.953,145.1538
"TCGA-BK-A6W3-01A-12R-A34R-07",46.8834,58.115,9.3724,115.2636,34.571
