,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-AD-6964-01A-11R-1928-07,25.3969,56.97,7.6275,24.2564,24.918,0.40425527
TCGA-G4-6322-01A-11R-1723-07,25.8103,58.9169,4.4163,106.2942,61.0965,0.58258084
TCGA-AZ-6598-01A-11R-1774-07,21.2497,53.2618,6.4527,95.3891,5.4273,0.1209728
TCGA-AA-3713-01A-21R-1723-07,37.1995,63.8865,10.0523,47.464,20.6112,0.16330418
TCGA-D5-5537-01A-21R-1928-07,26.3209,56.3601,14.1387,73.739,25.1108,0.13803517
TCGA-CM-5863-01A-21R-1839-07,21.3762,35.9899,7.1326,110.8653,48.8389,0.23709885
TCGA-G4-6311-01A-11R-1723-07,24.4683,67.0124,6.2835,65.8494,14.1088,0.1148431
TCGA-CM-6167-01A-11R-1653-07,34.4839,50.8816,12.7694,44.8972,361.4484,0.82712708
TCGA-CM-4751-01A-02R-1839-07,29.0384,54.2952,4.7697,68.4686,51.7726,0.30672276
TCGA-CK-6751-01A-11R-1839-07,20.7808,55.7906,8.975,116.2078,34.9565,0.42069671
TCGA-A6-2682-01A-01R-1410-07,17.6674,49.7394,8.6987,192.8737,19.8956,0.32521649
TCGA-AZ-6599-01A-11R-1774-07,30.4832,40.0006,6.9369,66.9246,22.1798,0.04619144
TCGA-A6-2685-01A-01R-1410-07,11.8602,44.2041,6.4553,139.3333,45.2977,0.3007317
TCGA-AY-6386-01A-21R-1723-07,25.2934,50.0976,8.4862,215.6507,32.7089,0.16407892
TCGA-AA-3712-01A-21R-1723-07,21.061,70.9546,9.5551,154.0583,22.0397,0.26828077
TCGA-AA-3511-01A-21R-1839-07,27.9948,39.3691,4.9208,39.94,38.9517,0.29309781
TCGA-CK-5916-01A-11R-1653-07,42.1793,61.9518,10.8061,97.2301,22.479,0.15647471
TCGA-DM-A28M-01A-12R-A16W-07,22.0321,44.7045,6.6257,141.7248,6.4448,0.12209666
TCGA-A6-6781-01A-22R-1928-07,25.5067,46.9569,7.5578,217.1473,38.9236,0.56883128
TCGA-A6-6651-01A-21R-1839-07,20.7123,41.9041,5.2784,65.7136,133.05,0.7124873
TCGA-A6-5666-01A-01R-1653-07,36.3687,74.4242,13.0007,44.7709,21.8445,0.23985974
TCGA-DM-A1D7-01A-11R-A155-07,22.8485,49.1145,8.1219,86.0285,38.9628,0.19376387
TCGA-D5-6541-01A-11R-1723-07,21.0416,40.3107,5.6787,25.035,13.4245,0.3088192
TCGA-DM-A0X9-01A-11R-A155-07,22.3938,40.7865,9.4425,25.197,18.8786,0.11787708
TCGA-A6-5660-01A-01R-1653-07,23.5862,76.7344,6.4709,28.3163,26.1819,0.1678395
TCGA-D5-6920-01A-11R-1928-07,26.5417,53.7435,9.9916,72.956,29.2852,0.20716218
TCGA-AA-A01X-01A-21R-A083-07,6.5798,55.0532,5.9843,31.6335,12.5106,0.07442701
TCGA-CM-5860-01A-01R-1653-07,41.0115,75.0018,11.1068,124.3425,42.8965,0.35684358
TCGA-D5-6531-01A-11R-1723-07,15.4934,56.2306,10.815,58.7458,15.4069,0.21596069
TCGA-A6-6652-01A-11R-1774-07,28.4279,78.2253,7.4236,30.3561,25.7873,0.11466477
TCGA-DM-A28K-01A-21R-A32Y-07,19.3085,44.6551,8.05,22.5615,14.9746,0.23729589
TCGA-CK-5914-01A-11R-1653-07,41.3922,96.2032,12.9486,84.9216,25.4859,0.15282884
TCGA-CM-6169-01A-11R-1653-07,34.5762,52.031,10.2437,85.6109,95.2181,0.67329996
TCGA-AZ-5403-01A-01R-1653-07,26.2508,78.773,9.8869,28.1318,82.6549,0.50910711
TCGA-AY-A8YK-01A-11R-A41B-07,22.1802,45.6144,4.4089,77.2087,22.664,0.18198153
TCGA-AA-3496-01A-21R-1839-07,25.2475,70.3631,6.4163,37.3449,51.9296,0.50036373
TCGA-5M-AATA-01A-31R-A41B-07,22.794,55.323,7.6711,97.7276,75.8884,0.69878412
TCGA-AD-6895-01A-11R-1928-07,36.6345,63.7911,11.9484,152.1568,20.5965,0.24140456
TCGA-F4-6854-01A-11R-1928-07,35.2179,72.2817,5.9364,104.0139,85.675,0.36320454
TCGA-CA-5256-01A-01R-1410-07,21.0411,74.0028,12.7688,61.7055,36.8763,0.09728499
TCGA-AA-3663-01A-01R-1723-07,33.8444,61.0999,11.7133,109.4168,21.1002,0.23656714
TCGA-CM-4747-01A-01R-1410-07,6.5886,44.4017,3.7781,108.4488,4.9666,0.16667496
TCGA-AY-A54L-01A-11R-A28H-07,42.3624,56.8895,6.8756,57.6182,15.7833,0.06533748
TCGA-A6-6654-01A-21R-1839-07,22.141,64.3908,6.767,83.8089,32.3591,0.55402042
TCGA-DM-A28A-01A-21R-A32Y-07,17.224,82.2636,13.7951,182.7659,13.8855,0.11714425
TCGA-CK-4952-01A-01R-1723-07,33.9772,66.6257,8.1093,70.0592,30.7366,0.26188323
TCGA-F4-6808-01A-11R-1839-07,11.8137,62.7672,8.4317,17.7504,16.4138,0.17816654
TCGA-A6-A566-01A-11R-A28H-07,25.8275,42.2579,8.7038,71.203,78.4071,0.90718312
TCGA-AA-3492-01A-01R-1410-07,27.0083,123.399,9.8337,51.2381,12.542,0.2167106
TCGA-CM-4744-01A-01R-A32Z-07,24.7789,51.0543,10.9848,65.1413,8.5033,0.07158705
TCGA-G4-6295-01A-11R-1723-07,28.916,143.4633,8.4969,40.7503,38.5294,0.10925794
TCGA-DM-A28C-01A-11R-A32Y-07,20.9256,37.2213,6.8979,42.9749,13.4341,0.06220192
TCGA-D5-6926-01A-11R-1928-07,29.8473,68.4975,8.2187,68.7734,33.653,0.34234204
TCGA-NH-A8F7-01A-11R-A41B-07,28.2764,60.963,8.304,35.817,17.3796,0.03737712
TCGA-CK-5913-01A-11R-1653-07,36.5434,59.4965,9.4144,61.452,18.8693,0.21433514
TCGA-G4-6310-01A-11R-1723-07,28.4453,70.1046,6.9142,23.4003,251.9466,0.12218113
TCGA-DM-A1DB-01A-11R-A155-07,16.6821,75.4033,18.9197,34.3809,12.9197,0.19588472
TCGA-A6-6653-01A-11R-1774-07,34.3354,61.5846,11.373,165.9655,27.9627,0.28788698
TCGA-F4-6569-01A-11R-1774-07,24.7443,51.7171,9.7461,76.2544,38.964,0.72634981
TCGA-AA-A01Z-01A-11R-A083-07,11.3298,51.8604,3.3655,103.6377,9.0986,0.15449699
TCGA-F4-6805-01A-11R-1839-07,34.0027,61.7158,9.6112,71.5581,61.985,0.36460769
TCGA-D5-6924-01A-11R-1928-07,27.7293,67.5971,9.3914,97.3346,68.8805,0.27210136
TCGA-D5-6922-01A-11R-1928-07,52.1986,76.0934,9.0403,36.881,68.675,0.18386831
TCGA-D5-6532-01A-11R-1723-07,33.7708,69.4325,9.2743,60.2165,22.7161,0.10415582
TCGA-CA-5796-01A-01R-1653-07,37.9935,45.1743,7.5398,27.4871,54.5717,0.19873206
TCGA-F4-6704-01A-11R-1839-07,16.8255,59.9063,6.0151,91.9442,108.6427,0.64932734
TCGA-DM-A1HB-01A-21R-A180-07,23.1873,38.673,9.0945,169.7293,4.7744,0.21515102
TCGA-NH-A6GB-01A-11R-A37K-07,24.762,43.9011,7.4199,67.0163,18.0244,0.15866732
TCGA-CM-6163-01A-11R-1653-07,23.2896,63.6519,6.026,25.0019,28.5655,0.08175715
TCGA-D5-6928-01A-11R-1928-07,37.5162,43.4754,8.7688,40.6939,41.0252,0.29426421
